base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac A_raw,0.4048935389784283,0.12057467465512708,1.3140303827387934,0.3952755657855633,0.0017508154384241208,0.002,55,0.16094136420000002,0.014356686595077791,1.8429457801156661,0.014577777777777776,1.8363086743996835
Os_LEA_or6,nardini_Frac C_raw,0.02233838458496636,0.1062537041025012,1.309763569587403,5.772170024993554,0.8961807640088382,0.825938566552901,32,0.1419104105625,0.9507408329044544,0.021937853387538515,0.9111250554798818,0.04042201031845977
Os_LEA_or6,nardini_Frac D_raw,0.05295124684829136,0.13665831571766376,1.1305044699986362,0.9560210772396177,0.6845291083572971,0.674,59,0.1759120037457627,0.8451026080931456,0.07309055800499653,0.8342339622641509,0.07871213368980896
Os_LEA_or6,nardini_Frac E_raw,0.07681911907819197,0.13800750482334165,0.12578788674863584,1.0173104839161786,0.5560668583492641,0.584,60,0.1788607767166667,0.7535605351621939,0.12288185412452705,0.7734266487213997,0.11158086821683433
Os_LEA_or6,nardini_Frac F_raw,-0.36800006506865124,0.14264360526992623,-9.079708715493977,3.9408712762213947,0.00983022170225771,0.02,46,0.1511802628478261,0.05145179869692333,1.2885994381902957,0.08556521739130435,1.0677027419222702
Os_LEA_or6,nardini_Frac G_raw,0.0858929111592105,0.17699389863218004,0.6928849646772908,2.0475676466760535,0.6250366516263679,0.614,34,0.14587513152941178,0.8039687126801909,0.09476085196639625,0.7949684210526315,0.09965012270828218
Os_LEA_or6,nardini_Frac H_raw,-0.1340934261264121,0.10821970541909663,-5.694162021894197,6.506884849489127,0.4947213814099076,0.20437956204379562,28,0.13681466035714288,0.7096295033634826,0.1489683366915549,0.4371945414154237,0.3593252690644201
Os_LEA_or6,nardini_Frac I_raw,-0.05410068765823786,0.21243542252915346,-0.47763042284169377,1.5849819809256365,0.7723820344158112,0.778,23,0.155009898,0.8930950903233351,0.049102298105726055,0.8891428571428571,0.05102845603262432
Os_LEA_or6,nardini_Frac K_raw,0.2753949189557585,0.12272891645275891,1.1269158739679923,0.6171033616769389,0.028477436625233565,0.038,64,0.16653335648437498,0.1120871905569193,0.9504440162035183,0.14326436781609195,0.8438618122901294
Os_LEA_or6,nardini_Frac L_raw,-0.24589994295048492,0.1251124021278455,-3.1101394352166354,1.9054531903138052,0.06384861110232144,0.06,57,0.15639631650877195,0.20531710236824935,0.6875748735480366,0.2035862068965517,0.691251649083971
Os_LEA_or6,nardini_Frac M_raw,-0.36045426451538626,0.12711424564266274,-6.214904726298264,2.283268731572835,0.005341820523888303,0.006,56,0.15224561875,0.03244661355250673,1.4888306237389917,0.03493491124260355,1.4567403557986884
Os_LEA_or6,nardini_Frac N_raw,-0.08300882184278369,0.21703314935066523,0.061465789291100026,0.9072926894129878,0.6709683465332332,0.704,24,0.12032700295833333,0.8373406938298973,0.07709780204822357,0.8510270270270269,0.07005664731574755
Os_LEA_or6,nardini_Frac P_raw,0.31880189244416113,0.2125455542992596,5.127534631140224,3.2834227386431323,0.11072014491099108,0.17,24,0.16126839479166669,0.30517821454458044,0.5154464721613536,0.3963981042654029,0.40186843115205834
Os_LEA_or6,nardini_Frac Q_raw,-0.16574562082699898,0.12592869532938003,-0.6609447929428613,0.7697319126010731,0.19501814317981087,0.198,55,0.14003413261818182,0.4226824953500747,0.3739857373384364,0.43104424778761063,0.3654781461185095
Os_LEA_or6,nardini_Frac R_raw,-0.38254400753889184,0.10605780007579473,-2.4288556819073612,0.6182814850082736,0.0013804694560633028,0.004,64,0.16719271318749998,0.011812016911011218,1.927675939936421,0.026066225165562916,1.5839218575338654
Os_LEA_or6,nardini_Frac S_raw,0.06408980764670848,0.16548365396033335,0.5882604077340057,0.7150041137054255,0.6280361267408328,0.696,42,0.1395279271904762,0.8060858543064692,0.0936187000486911,0.8465562422744128,0.07234418357036869
Os_LEA_or6,nardini_Frac T_raw,-0.26500005854385916,0.13015559044706404,-4.136813222076287,1.5312680834193828,0.05448194878831265,0.046,51,0.12503832756862748,0.18943546857844398,0.7225387034438421,0.1658021978021978,0.7804097169278404
Os_LEA_or6,nardini_Frac V_raw,0.019554184459782884,0.15576558496738827,-0.6926224995290686,2.089392662399816,0.9061234611129785,0.918,54,0.1551387754814815,0.954557823920594,0.020197758366174386,0.9548752642706131,0.02005335676920882
Os_LEA_or6,nardini_Frac Y_raw,-0.05130798465507706,0.04630949273166767,-5.262708962265044,3.8230170881627377,0.761985213959768,0.2153846153846154,45,0.15435518693333333,0.8880333266256921,0.05157073546233488,0.451894374282434,0.3449630652483593
Os_LEA_or6,nardini_Frac K+R_raw,-0.2225180683091061,0.22984891995476128,-0.557426312115475,0.6081017833037581,0.2921876003629233,0.348,22,0.2191715612727273,0.5315439385449294,0.27446082995744137,0.5843549488054607,0.23332327364016828
Os_LEA_or6,nardini_Frac D+E_raw,0.06933540871760341,0.24661519587318295,0.39864381546869304,0.7426515810632314,0.784840293841672,0.776,22,0.2191715612727273,0.90009656076947,0.04571089771637633,0.8878883720930233,0.05164163155403775
Os_LEA_or6,nardini_Frac Polar_raw,-0.36297786284018,0.14479794091346113,-0.6048817545121069,0.35875522286444816,0.010785163550034314,0.022,45,0.14184662762222225,0.05527396319392586,1.2574793949885945,0.09290987124463519,1.0319381417724711
