feature,pvalue,top_median,bottom_median,top_n,bottom_n,padj,significant,direction
nardini_Frac K_zscore,0.03054524847404542,1.188589993,1.012695827,196,52,0.052605705705300446,False,Top > Bottom
nardini_Frac P_zscore,0.036585982689497816,-0.667665382,-0.335182159,118,47,0.06186357072951448,False,Bottom > Top
sparrow_asphericity,0.05005646253493079,0.43331254,0.440569045,209,52,0.08312948242408148,False,Bottom > Top
nardini_Frac Polar_zscore,0.05306736271636753,-1.574884129,-1.154506748,209,52,0.08509077125210655,False,Bottom > Top
nardini_Frac Polar_raw,0.05306736271636753,0.246753247,0.296703297,209,52,0.08509077125210655,False,Bottom > Top
nardini_Frac C_zscore,0.07531544572617903,1.323734233,1.302493405,49,18,0.11871756699211271,False,Top > Bottom
avg_coil_prob,0.07869678499087612,0.650964439,0.778776288,209,52,0.121980016735858,False,Bottom > Top
nardini_Frac R_zscore,0.1030029483810145,0.116430096,0.35277406850000004,139,46,0.15563324079203195,False,Bottom > Top
sparrow_scaling_exponent,0.10375549386135462,0.56661147,0.573885,209,52,0.15563324079203195,False,Bottom > Top
nardini_K Patch_zscore,0.13294758438492948,1.081936086,0.926992646,93,13,0.19454283741592127,False,Top > Bottom
nardini_Frac K+R_zscore,0.13387894187762325,0.973879504,0.793048831,199,52,0.19454283741592127,False,Top > Bottom
sparrow_prefactor,0.150420510763202,6.027566,6.09910675,209,52,0.21521703847658133,False,Bottom > Top
nardini_Frac Y_raw,0.15415202222924526,0.0,0.0,209,52,0.21721421314120923,False,Bottom > Top
nardini_Frac R_raw,0.15666957321475392,0.043956044,0.029470529500000002,209,52,0.21746672102943454,False,Top > Bottom
nardini_Frac K_raw,0.17837192979163619,0.153846154,0.142857143,209,52,0.2439498451562083,False,Top > Bottom
sparrow_SHD,0.1962557930081099,4.879396842,4.909041279,209,52,0.2613735801869526,False,Bottom > Top
nardini_Frac C_raw,0.19673280229125467,0.0,0.0,209,52,0.2613735801869526,False,Bottom > Top
nardini_NCPR_zscore,0.20090357548332605,0.344994646,0.30894511950000003,144,52,0.26315538760492,False,Top > Bottom
nardini_Frac Aromatic_zscore,0.2368994204571735,0.289382799,0.115459509,151,32,0.30599508475718246,False,Top > Bottom
nardini_Frac W_raw,0.31137141173467564,0.0,0.0,209,52,0.39667864782636764,False,Bottom > Top
