base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac M_raw,-0.33748097884452327,0.1215888132506963,-0.3464912409442428,-4.901351160478291,1.7900669974197416,0.008896531148263179,0.01,56,0.06963132901663381,0.04760590603804658,1.3223391649135157,0.052395833333333336,1.280703247983641
Os_LEA_or6,nardini_Frac N_raw,0.00836343888025635,0.2247466359628938,0.0004525442851807605,0.2664180446633562,0.8471741345912891,0.9983255247951552,0.978,24,0.0862073427143229,1.0,-0.0,0.9928032290615539,0.003136818977765317
Os_LEA_or6,nardini_Frac P_raw,0.3429403604423383,0.22783776331035932,0.35808210468070345,4.680530825298745,2.808228147268934,0.08577984054051263,0.156,24,0.05307589822266173,0.2544778659553751,0.5943499858674126,0.375444976076555,0.425453702700665
Os_LEA_or6,nardini_Frac Q_raw,-0.12417885015948368,0.13649101367231867,-0.13319543473365753,-0.3116818101453309,0.7494266675500599,0.3323239378374475,0.388,55,0.06628548071559445,0.5618787923772642,0.2503573596604741,0.619568253968254,0.20791084313946587
Os_LEA_or6,nardini_Frac R_raw,-0.38426195995937446,0.10550635901919704,-0.3928623608935608,-2.070435790848482,0.5546422139300322,0.0013221796482971108,0.002,64,0.0729558996784182,0.011368484839204218,1.9442974130449666,0.014794117647058824,1.8299109319863278
Os_LEA_or6,nardini_Frac S_raw,0.10150215690969304,0.16253828551044974,0.11212006284321067,0.540397963409974,0.5986283213250106,0.479612177842737,0.512,42,0.060160523745276875,0.688287947089577,0.16222983549975972,0.7153777777777778,0.1454645547355291
Os_LEA_or6,nardini_Frac T_raw,-0.2616694168636545,0.12859953652534456,-0.2696050217077838,-3.2296408181095977,1.3899249820030044,0.055719095251537176,0.052,51,0.06171586832990316,0.18560731729485563,0.7314049063599574,0.17976632302405499,0.7452916646311996
Os_LEA_or6,nardini_Frac V_raw,-0.008551467509266573,0.158858237241583,-0.010308495685282927,-0.7601618941697595,1.7532311086492758,0.9410254359786587,0.94,54,0.07007776132656773,0.9779665171431102,0.009676013994516819,0.9718807810894141,0.01238700594874469
Os_LEA_or6,nardini_Frac Y_raw,-0.06484994289322517,0.04793804413994303,-0.058040218006278316,-7.290531265106355,3.1754837982538917,0.7049040489424732,0.12923076923076923,45,0.06296630272496483,0.8346157488069977,0.07851342461419127,0.33506740681998415,0.47486781545527257
Os_LEA_or6,nardini_Frac K+R_raw,-0.23250192699800976,0.23266519845564435,-0.24646034758294286,-0.5905598955134743,0.5457528327953564,0.26886116288421674,0.352,22,0.09386666148249802,0.5060359052860601,0.29581866712386823,0.5921605351170568,0.22756053979037127
Os_LEA_or6,nardini_Frac D+E_raw,0.0063877219220431864,0.2467102935790648,-0.003966028581794483,0.16096003785868418,0.6452347891519337,0.9860246085937101,0.98,22,0.09386666148249802,0.9969253831610777,0.0013373460956704651,0.9928298086606243,0.003125192082977752
