base_origin,feature,r_mean,r_std,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_calculated_std,p_adj,neg_log10_padj,bootstrap_p_adj,neg_log10_bootstrap_padj
Os_LEA_or6,nardini_Frac Q_raw,-0.17118283694504172,0.12753642002283375,-0.6616256356148442,0.7717432594923964,0.18558161208804666,0.188,54,0.14138915007407407,0.40044813936380114,0.39745371989557354,0.41282915717539864,0.38422963707561075
Os_LEA_or6,nardini_Frac R_raw,-0.39160332283953364,0.10627739023764546,-2.4886701605718606,0.6276026665630069,0.0011462037315486831,0.004,63,0.1687852453015873,0.010190944472425696,1.991785564751671,0.0241,1.6179829574251317
Os_LEA_or6,nardini_Frac S_raw,0.06536987290876081,0.1700018118286919,0.5966347202583383,0.7429283524691465,0.6172561757802688,0.678,41,0.14130023785365853,0.7819118967834154,0.10684217903270757,0.8231637279596978,0.08451377465720208
Os_LEA_or6,nardini_Frac T_raw,-0.2745016018432001,0.13284670072538904,-4.2582868558130675,1.5243697018438136,0.050515933446388175,0.054,50,0.12620183032,0.17391914229399355,0.7596526150350588,0.1865806451612903,0.7291334095477983
Os_LEA_or6,nardini_Frac V_raw,0.024704105372703518,0.1580402555701896,-0.6843261633032449,2.1118374159863316,0.8698196785011354,0.876,53,0.15680435256603772,0.9303600214211303,0.031348959983428216,0.9300264317180617,0.03150470845017362
Os_LEA_or6,nardini_Frac K+R_raw,-0.25165919697146877,0.23086929353546212,-0.5900213127455888,0.6083189592134824,0.24507882305513143,0.282,21,0.2264243408571429,0.4641571422890898,0.33333496238642085,0.5148636363636363,0.28830778031162047
Os_LEA_or6,nardini_Frac D+E_raw,0.0578355119000412,0.25270648460064976,0.3633292927866138,0.7600603289396959,0.8245498279200661,0.806,21,0.2264243408571429,0.9064457695726748,0.04265817356500097,0.899287037037037,0.04610166677097186
Os_LEA_or6,nardini_Frac Polar_raw,-0.3649587985261608,0.1465083502903063,-0.6026864046385283,0.3599027927532845,0.01104272188349238,0.018,44,0.14355079665909093,0.05515639324189976,1.2584041407259525,0.07959633027522935,1.099106954598468
Os_LEA_or6,nardini_Frac Aliphatic_raw,0.3281527892990182,0.20649034942183545,2.0197717019759334,2.737879447507094,0.05948951989401324,0.136,31,0.1443312886451613,0.19374289587104312,0.7127742131600744,0.3486808510638298,0.4575719026546128
Os_LEA_or6,nardini_R/K Ratio_raw,-0.18076438578618564,0.10237878367574862,-0.10535432969609362,0.0498295197472051,0.0485721776674801,0.096,112,0.1760125498839286,0.16843014126421157,0.773580187103687,0.28043636363636365,0.5521656729354882
Os_LEA_or6,nardini_E/D Ratio_raw,-0.07593843145371917,0.13632653524570823,-0.19845734943260995,0.1434387191449401,0.5856960383766298,0.588,59,0.17672613764406783,0.7599071076649678,0.11923949336945971,0.7670257104194858,0.11519007841585649
Os_LEA_or6,nardini_Frac Chain Expanding_raw,0.31738849482339976,0.22684432919162717,0.6850362485683614,0.46136527680951794,0.194432492851336,0.152,18,0.20836364844444447,0.4110371120804559,0.386118964391295,0.3709569620253165,0.43067647377885687
Os_LEA_or6,nardini_FCR_raw,-0.04525772225619122,0.32181656865823105,0.11263285249739544,0.46643725177047035,0.871488692264814,0.878,13,0.19815160276923077,0.9303600214211303,0.031348959983428216,0.9302494529540482,0.03140057669918091
Os_LEA_or6,nardini_NCPR_raw,-0.26941494351402334,0.3511503504535513,-0.4623462247164805,0.5896056181424425,0.376591859269915,0.454,11,0.27941782445454544,0.5970963031845363,0.22395561766686622,0.6661430745814307,0.17643248279984608
Os_LEA_or6,nardini_Disorder Promoting_raw,0.4050089257743456,0.1434079683151891,0.8609544906301984,0.2958658316853069,0.008245088045105898,0.004,41,0.16369794687804878,0.04473274345115114,1.3493744658076834,0.0241,1.6179829574251317
Os_LEA_or6,nardini_Iso point_raw,-0.38587874109176296,0.3840914499879872,-0.024970216973768885,0.07381531623439422,0.26458604674749614,0.332,9,0.2852581794444444,0.48490674727107663,0.3143417728194943,0.5634647887323944,0.24913321810415182
Os_LEA_or6,nardini_PPII_raw,0.26330088667598917,0.24421266581057474,5.56622638083896,5.009189777421977,0.24264423781558805,0.282,19,0.15248334331578947,0.46198195422565197,0.3353749883687351,0.5148636363636363,0.28830778031162047
Os_LEA_or6,nardini_A Patch_raw,0.31329305729438445,0.10203466061306972,0.6606599541336717,0.2006372094019864,0.003681083619454181,0.004,81,0.17052329228395063,0.023976787899688042,1.6202089985048307,0.0241,1.6179829574251317
Os_LEA_or6,nardini_E Patch_raw,0.0816450700254438,0.23330326940034976,0.5529059366832432,1.072755400639846,0.6872988157283392,0.73,24,0.2162275795416667,0.8365606797501502,0.07750255210161043,0.8624019607843137,0.06429026473057446
Os_LEA_or6,nardini_K Patch_raw,-0.18257937462213011,0.17177331163312767,-1.9624245707633365,1.8153636995964084,0.2691998310495257,0.308,37,0.16309961194594594,0.4896389379844203,0.31012405271021565,0.5408233151183971,0.26694459404681686
Os_LEA_or6,nardini_R Patch_raw,0.09201957036768063,0.4336911717380672,-0.7542278222223086,4.735556190402976,0.7768465178205831,0.85,9,0.23210537011111113,0.884229207062412,0.05343514396922541,0.9165548098434004,0.03784155917879417
Os_LEA_or6,nardini_S Patch_raw,0.2517685534186651,0.4147562574988342,1.6185350171520454,2.8726543387500225,0.507201459971468,0.582,9,0.08249318166666668,0.7053362369060044,0.15160380354508704,0.7654133697135062,0.11610395608840868
Os_LEA_or6,nardini_Frac A_zscore,0.37079269844619545,0.13745362464661745,0.06197972813041326,0.024949647758361004,0.006494346091796169,0.012,51,0.15642955321568627,0.037332234653512715,1.4279160130567476,0.05726732673267327,1.2420930894961681
Os_LEA_or6,nardini_Frac D_zscore,0.02541393005762974,0.09989787305199367,0.005670909440605996,0.03937235252268318,0.8131697445804918,0.814,107,0.17868349881308415,0.903895841954453,0.04388161141690413,0.9019494252873562,0.04481781382658657
Os_LEA_or6,nardini_Frac E_zscore,0.08934789143792359,0.13626412369493665,0.0012676114854994372,0.07382397621709814,0.4712523242470258,0.528,59,0.1759978646440678,0.6805529114193011,0.16713810375363475,0.7288445078459345,0.13736511446303878
Os_LEA_or6,nardini_Frac F_zscore,-0.061009690198188644,0.11748345804143841,-0.04077142741913214,0.14188175597317187,0.5284823222075355,0.592,84,0.18822979711904764,0.7226467760016875,0.14107393053171585,0.7701592442645073,0.11341946735357768
Os_LEA_or6,nardini_Frac G_zscore,-0.025057632274316892,0.18763576809417776,-0.03755644054677613,0.10962740797925338,0.9056838183229221,0.884,29,0.13481988920689655,0.9469405649276539,0.02367727879397525,0.9303231441048035,0.031366174751946495
Os_LEA_or6,nardini_Frac K_zscore,0.39050261962688,0.11150318223563484,0.11708562905012189,0.03664006234454108,0.0017102571601670107,0.001,60,0.16713188760000003,0.013743376998270797,1.8619065400921142,0.008844036697247707,2.053349464037793
Os_LEA_or6,nardini_Frac L_zscore,-0.1361354915409359,0.12225665874789567,-0.05511965199452526,0.058233129124496096,0.2138875503705607,0.278,85,0.1900957441764706,0.4340791548573063,0.36243106914358675,0.5114351145038168,0.29120945716281954
Os_LEA_or6,nardini_Frac M_zscore,-0.36440413672103183,0.12788084977551228,-0.12207381545987046,0.04429713907167963,0.0055915622123753235,0.004,55,0.15379802654545455,0.033069116397115406,1.4805774092285324,0.0241,1.6179829574251317
Os_LEA_or6,nardini_Frac P_zscore,0.10888519219942824,0.09788818211526347,0.3419145625675428,0.1471177285622022,0.25052989969834116,0.28,111,0.17525861346846855,0.470268547656895,0.3276540666203482,0.5131558935361218,0.289750678908689
Os_LEA_or6,nardini_Frac Q_zscore,-0.15500264607138675,0.12597737983379226,-0.03525877210046476,0.04851935080807178,0.18043865873849887,0.23,71,0.19532826398591552,0.3939279985595133,0.4045831504735107,0.4628810020876827,0.3345306434941396
Os_LEA_or6,nardini_Frac R_zscore,-0.19633089714857835,0.18511601237248065,-0.08066961033620333,0.053105431236833,0.2754522037158012,0.29,31,0.18183651351612903,0.495402843996329,0.30504150455606205,0.5215671641791044,0.2826897578909832
Os_LEA_or6,nardini_Frac S_zscore,0.05170541685648508,0.0972953099553404,0.0374921658112036,0.039208176855327584,0.626593550719539,0.58,107,0.17444416985046732,0.7880122377680902,0.10346703789891806,0.7648700410396717,0.11641234949209238
Os_LEA_or6,nardini_Frac T_zscore,-0.17470263839371958,0.10254619215492394,-0.21538512916918995,0.09271713104140737,0.09780164240222583,0.104,91,0.18497328594505497,0.2736864560819947,0.5627466939833476,0.29838095238095236,0.525228904188233
Os_LEA_or6,nardini_Frac V_zscore,-0.03213985143774158,0.15945165793728153,-0.039924327350720754,0.05529467173417662,0.8418424053576427,0.862,52,0.15972275488461538,0.9190669068683665,0.03665287139295164,0.9243248053392659,0.03417539200568519
Os_LEA_or6,nardini_Frac Y_zscore,-0.009797782727535263,0.03358169213667078,-3.038727831051796,5.643839111184539,0.9397654181249937,0.6870967741935484,68,0.18873949066176474,0.9627352423724697,0.016493129890715233,0.8280049937578027,0.08196704394589562
Os_LEA_or6,nardini_Frac K+R_zscore,0.04542880939844752,0.24334077055085002,0.02029450315138125,0.06013870917029401,0.8274608684895786,0.838,20,0.21171568219999998,0.9064457695726748,0.04265817356500097,0.9076764044943819,0.04206895411180556
Os_LEA_or6,nardini_Frac D+E_zscore,0.1793526937402878,0.24162737225740902,0.07130294264640497,0.08587351350329368,0.4507009124674398,0.478,20,0.21676640514999995,0.6592954167202003,0.18091994336754372,0.6836676557863501,0.16515496602037016
Os_LEA_or6,nardini_Frac Polar_zscore,-0.285269646113759,0.08904070752638168,-0.07979032928615656,0.04716499287775338,0.0028870649591723843,0.006,112,0.1760125498839286,0.020022522450663157,1.6984812107030571,0.033627906976744185,1.4733001626210744
Os_LEA_or6,nardini_Frac Aliphatic_zscore,0.4059274827980299,0.16359354269776133,0.10807164945567052,0.10025625495258655,0.01276101881814023,0.022,34,0.15094740900000003,0.06030206931709403,1.2196677844174713,0.09141379310344827,1.0389882701658626
Os_LEA_or6,nardini_Frac Aromatic_zscore,-0.004380980160447003,0.025383938925042062,-1.7476463746958877,3.5004350426978674,0.9677806181428863,0.8375796178343949,85,0.18611307808235295,0.9789512233890266,0.009238946542846498,0.9076764044943819,0.04206895411180556
