base_origin,feature,r_mean,r_std,r_full,slope_mean,slope_std,p_value,bootstrap_p,n_samples,mean_pooled_se,p_adj,bootstrap_p_adj
syn_LEA_1,nardini_Frac A_raw,0.5450826372812095,0.11019333210484236,0.5546977038676031,1.7902175798344788,0.4743901625329988,5.144659398819265e-06,0.001,59,0.19670852698325994,0.00015222139280035826,0.008824561403508771
syn_LEA_1,nardini_Frac C_raw,-0.11839716912234527,0.2831020365433462,-0.129346053397994,-0.6897901995368252,4.352729712305715,0.645922895774361,0.68,15,0.36507241502906146,0.812214610252778,0.82818401937046
syn_LEA_1,nardini_Frac D_raw,0.022834774226159604,0.12468970019135044,0.02070355740038597,-0.21029469613201682,1.96822535541426,0.8785072578379709,0.842,57,0.1863848159239132,0.9408051173805796,0.9177161430119176
syn_LEA_1,nardini_Frac E_raw,-0.05487346650675965,0.12419793712922292,-0.05147463956983796,-0.5386550913168229,1.1889117018297832,0.6886766970137951,0.648,63,0.17828038768630963,0.8357162330468972,0.8087450980392157
syn_LEA_1,nardini_Frac F_raw,-0.04011682834838629,0.2839104284909185,-0.04092642562583738,6.255076455512659,11.190539791399887,0.8848565438466963,0.864,15,0.2952428524211932,0.9426590824895916,0.9326008583690988
syn_LEA_1,nardini_Frac G_raw,-0.13018708540198218,0.19523905028532265,-0.13517121700211454,-2.040726356288727,3.173440386216833,0.5102971393634286,0.506,26,0.2521728104629055,0.7141220340420407,0.7129355742296919
syn_LEA_1,nardini_Frac H_raw,-0.337817642994605,0.19315158883029448,-0.33692737174868786,-6.999104633924216,12.627233369725268,0.07389373452006519,0.104,29,0.2312079580036963,0.22872952900672486,0.28276756756756755
syn_LEA_1,nardini_Frac I_raw,-0.4785847619672661,0.09680326929902146,-0.48268213229511897,-1.3054197998334434,1.1678191129871143,0.00014321388242757993,0.001,57,0.20284617635953275,0.001973605009892403,0.008824561403508771
syn_LEA_1,nardini_Frac K_raw,0.24498703725833637,0.11276442302894153,0.2461816987826526,0.6613003898349373,0.6195369645654886,0.057947333007204824,0.034,60,0.19745146886888457,0.19367115284135566,0.13847773279352227
syn_LEA_1,nardini_Frac L_raw,-0.6047164457454944,0.0808863998627161,-0.6142024449170455,-5.872650133838819,1.0767073337544395,1.989565647122713e-08,0.001,69,0.1863584057040769,2.001503041005449e-06,0.008824561403508771
syn_LEA_1,nardini_Frac M_raw,-0.5705583777734275,0.09298700482082256,-0.5826574836372135,-4.071788932880274,1.394749815841466,5.846035874499583e-06,0.001,52,0.20443217585762616,0.0001633642247151828,0.008824561403508771
syn_LEA_1,nardini_Frac N_raw,-0.2805853371684784,0.1161974237225171,-0.2793817136991459,-2.11205891988821,1.8973084094380506,0.03885766154385651,0.022,55,0.19917064819140667,0.14695792298165283,0.1010593607305936
syn_LEA_1,nardini_Frac P_raw,-0.5832234478281492,0.14160587740495964,-0.5965510049419286,-8.369994399676052,3.4462708674856155,0.0012968038336571396,0.001,26,0.2532890801117191,0.011445592092350288,0.008824561403508771
syn_LEA_1,nardini_Frac Q_raw,-0.2242284726355284,0.11506408233267928,-0.22795969901805266,-0.6797690076105138,0.6926379803523446,0.0941536861339689,0.06,55,0.13539270955964963,0.2654848344813125,0.1979016393442623
syn_LEA_1,nardini_Frac R_raw,-0.22483836878470778,0.12709373716998143,-0.23006257378713857,-0.5115864149187509,1.171219701606778,0.09421280905549557,0.072,54,0.2038951251792459,0.2654848344813125,0.2208292682926829
