base_origin,nardini_A Patch_raw,nardini_Frac Aliphatic_raw,nardini_Frac Aliphatic_zscore,nardini_Disorder Promoting_raw,nardini_Frac A_raw,nardini_Frac A_zscore,nardini_Hydrophobicity_raw,nardini_Frac I_raw,sparrow_complexity,nardini_Q Patch_raw,nardini_R Patch_raw,nardini_S Patch_raw,cider_fraction_neutral,nardini_N Patch_raw,avg_helix_prob,nardini_Frac L_zscore,nardini_Frac N_raw,avg_beta_prob,nardini_Frac H_raw,nardini_Frac Q_raw,nardini_Frac R_raw,nardini_R/K Ratio_raw,nardini_R/K Ratio_zscore,nardini_Frac Aromatic_raw,nardini_Frac F_raw,nardini_Frac Polar_raw,nardini_Frac T_raw,nardini_Frac M_raw,nardini_Frac L_raw,nardini_Frac M_zscore,nardini_Frac T_zscore,nardini_Frac C_raw,nardini_Frac Polar_zscore,nardini_Frac P_raw,nardini_Frac G_raw,nardini_Frac P_zscore,nardini_Frac W_raw,nardini_PPII_zscore,nardini_Frac Chain Expanding_zscore,nardini_PPII_raw,sparrow_prefactor,nardini_Frac Y_raw,nardini_Iso point_raw,nardini_Iso point_zscore,nardini_NCPR_raw,nardini_NCPR_zscore,nardini_P Patch_raw,nardini_A Patch_zscore,nardini_G Patch_raw,cider_omega,nardini_T Patch_raw,avg_nis,nardini_E Patch_raw,nardini_Frac W_zscore,sparrow_SCD,nardini_Frac V_raw,nardini_Frac V_zscore,nardini_T Patch_zscore,nardini_Frac E_raw,nardini_Frac E_zscore,nardini_E/D Ratio_raw,nardini_E/D Ratio_zscore,nardini_Hydrophobicity_zscore,nardini_K Patch_raw,nardini_Frac N_zscore,nardini_L Patch_raw,avg_nes,nardini_S Patch_zscore,nardini_E Patch_zscore,nardini_K Patch_zscore,nardini_V Patch_raw,cider_delta,cider_kappa,nardini_Frac D_raw,nardini_Frac D_zscore,nardini_Frac H_zscore,nardini_Frac R_zscore,avg_mito_targeting,nardini_Frac K+R_raw,nardini_Frac F_zscore,nardini_Frac G_zscore,nardini_Frac Q_zscore,nardini_Frac Aromatic_zscore,nardini_Frac K+R_zscore,nardini_Frac Y_zscore,nardini_I Patch_raw,nardini_Frac I_zscore,nardini_V Patch_zscore,cider_mean_net_charge,nardini_D Patch_raw,sparrow_scaled_re,sparrow_scaled_rg,nardini_FCR_raw,nardini_Frac D+E_raw,nardini_Frac Chain Expanding_raw,nardini_FCR_zscore,nardini_Frac D+E_zscore,sparrow_asphericity,sparrow_scaling_exponent,nardini_Frac C_zscore,sparrow_SHD,nardini_Frac S_raw,nardini_Frac S_zscore,avg_coil_prob,nardini_Disorder Promoting_zscore,nardini_Frac K_zscore,nardini_Frac K_raw,calvados_epsilon_self,mpipi_epsilon_self
syn_LEA_1,0.6620443439353935,0.5253793698205127,0.5454723113132756,0.6440230563701721,0.5450826372812095,0.5075784845926199,-0.28914673304560917,-0.4785847619672661,-0.6757108160093838,-0.02790193338869345,0.0,0.0,-0.03654772087755589,0.0,0.0681369877850476,-0.2200357013728873,-0.2805853371684784,-0.35424957385548733,-0.337817642994605,-0.2242284726355284,-0.22483836878470778,-0.19569593251974113,-0.20833168448274425,0.1127803632025055,-0.04011682834838629,-0.3505506563620629,-0.48953293736113834,-0.5705583777734275,-0.6047164457454944,-0.5733005799114929,-0.08414372935870111,-0.11839716912234527,-0.20812389676734563,-0.5832234478281492,-0.13018708540198218,-0.2707996693874597,-0.33350159085135267,-0.201532524036259,-0.2420456800751943,-0.24339260024114304,0.20936755818856329,0.4655798798684198,0.34615392519270505,0.24857940046750673,0.20759306244222384,0.28631246431428076,0.0,0.0,0.0,0.12047732910494571,0.0,0.17307905801640924,0.19080830076917413,0.0,0.1868494998090786,-0.09027257209844822,-0.0471621250190169,0.0,-0.05487346650675965,-0.062399755773691744,-0.08894415355225033,-0.0923514145460448,-0.008201327886871067,0.10448487992669624,0.136356188006309,0.0,0.008890804684741453,0.0,0.0,0.0,0.0,-0.03012330080325132,0.006816990916018162,0.022834774226159604,0.10240868832578182,0.15141432033916946,0.04026151186115864,0.25851080761600487,0.1778524505605959,0.0,0.18707285480040556,0.06557553879508106,0.0,0.22139357710186447,0.0,0.20736663564928265,-0.024342076120825482,0.0,0.25680300267662104,0.0,-0.03324034593540883,0.3049568935313664,0.04355534748895162,-0.1935189668782778,-0.05865920762432639,0.07555380871518777,-0.2010401851586337,0.2543767709585292,0.2436499254771127,0.0,-0.45276601843055697,0.44901971908773336,0.3938339151053807,0.051606594316360645,0.3417907837004751,0.27645556971678537,0.24498703725833637,0.3553015166972015,0.34134207698488844
At2g46140_tile7,0.7412040678311197,0.7364807986555663,0.7391618975076433,0.5905590046134546,0.6886112843274946,0.32157300328373706,0.22732150837916476,-0.6307364161499239,-0.5801598335124577,0.0,0.0,-0.028556656650241492,-0.0272823961159363,0.0,0.030910711318373828,-0.1366578493837616,-0.17674185022311636,-0.30295935162647725,-0.37623279670497956,-0.5638204136034903,-0.5422664590159432,-0.3564891858101365,-0.31719025038294796,-0.7011538101142808,-0.6188588117756014,-0.6351345680697661,-0.7151854701577761,-0.6318598210117836,-0.5522551937600789,-0.6384443313449141,-0.45900568815852116,-0.45764910724694596,-0.41246931302669726,-0.7801813589051612,-0.549422280767546,-0.8111126746492223,-0.35657031067897493,-0.08296497133620068,-0.416198322612554,-0.3006863463822091,-0.702623135304116,-0.26695716291333677,-0.2778819577664342,0.0012559767116532056,-0.11801917350899543,-0.09374538434041647,0.0,0.0,0.0,0.16761430346460618,0.21272877517426964,0.14778060514222374,0.0,-0.10467311384141291,-0.2062282095541176,0.28632410748436193,0.217037326593501,0.0,0.16197084056482658,0.037009966341433935,0.0007282640259962725,0.021376954685430164,0.23523237607328448,0.07327666050584457,0.0,0.25572716029250725,-0.011720862396009316,0.0,0.0,0.0,-0.04447955522135497,0.0640935468543459,0.20059208000547504,-0.04688577871668423,-0.11149570339383658,0.0,-0.1637781542577953,-0.008456103553606601,-0.2773322299030407,-0.4029536189384176,-0.5541906254198316,-0.27507258872775026,-0.5393642631253208,-0.1793285164604404,-0.25086355906132574,-0.3939591546191302,-0.26583774440047275,-0.32024893176918856,-0.11943965627438928,-0.03994129971978303,0.09710114907804913,-0.17898788683801964,0.09067956345643308,0.1742637257446397,-0.38564486630232797,-0.1378676190623254,0.04127321727363443,0.0,-0.047603885066971684,0.5945411167937606,0.5752498268311076,0.6656366138373734,0.56920821034209,0.14657005226385109,0.2533959024685322,0.13304709581963323,0.2535880224637196,0.35536769846888183,0.4161169556325853
TgL_8x,-0.06575577081789392,0.2536702408785839,0.16296349658533926,0.01150178752677931,0.20280921784154202,0.1920019516554104,-0.17003307163939263,-0.08232782785573703,-0.0061538055260882685,0.2020369676663393,0.0,-0.21391029896704933,-0.22937131574553957,-0.19323696884363584,0.09048209984441925,-0.025090676534532654,0.0025260211075644207,0.03623800574698916,0.026200512987395605,0.11971668009258271,0.06152096947498951,0.02308385408098772,0.03239279187701224,-0.04574978774985073,0.02979509258799717,-0.23479646387801523,-0.15645418119759108,0.13137890369718058,-0.12393086686140443,-0.11855252666000157,0.0,-0.20068152505878203,-0.15838632938781333,0.07933442657165156,-0.05300980500362403,0.0,0.08842278745565886,-0.07204550455842525,-0.09523892441988634,0.06540954198257444,0.24277239772490083,0.17201936496487535,0.08925178125454525,0.052143909174175246,-0.046982965371217704,-0.10360732490482624,0.7244286507547569,0.0,0.13384461771208567,0.14018017323981416,0.008382830032347938,0.19689156668785573,0.0,0.1823644749696229,-0.1029523056791844,-0.015609059208254693,0.0,0.0,-0.07362101675968648,0.0,-0.07197692068327596,-0.027881560692279015,0.06215480647895971,0.2058863304265501,0.07093110755935791,0.0,0.06313339328136394,0.0,0.0,0.0,0.0,0.15318208046155818,0.1678974030754584,0.12132662390750416,0.11358497602724062,0.0,0.0,-0.21077236718358222,0.08835894309483269,0.0,-0.051585810062960064,0.17579487964686324,-0.040363832960533266,0.010936978404895412,0.0,0.0,0.0,0.0,0.16408095236916123,0.17688281395417418,-0.19717925581091283,-0.16836341560363008,0.21636145812729193,0.19144502207300484,0.1721263502233988,-0.014955758959640736,0.0190968742114585,-0.19233127575458092,-0.24088384957468711,0.0,-0.11811510084649805,-0.1886057560846739,-0.1566279703547635,-0.032681836685403656,-0.06474135762100429,-0.06394740153126728,-0.047949422890790135,-0.11208336652169099,-0.10634587820669884
Os_LEA_or3__Kappa_up_2_,0.1440703886311014,-0.220444398874391,-0.3160109182315096,-0.14537402098027938,0.0564944199930158,0.043781533790002033,-0.5359904155633802,-0.25896136204786635,-0.39520031323364446,0.40317178873069487,0.30202484118519246,0.44165064466105275,0.6097957702254694,0.4577255069710826,0.039553279631894964,0.0375617161172286,0.2588218885745987,0.08534376805884872,-0.11764149443502658,0.2155788739380133,-0.06316465509326165,0.0034211633828087175,-0.02446140647011555,-0.012036476864512504,-0.07008963646010033,0.27084271921563585,0.14130977390882146,-0.08542971258382814,0.04749965977910458,-0.055723110155458236,0.17016555261064997,-0.09109423252026075,0.09204234370811538,0.020751800211792144,0.2756442922673217,0.0,0.032072710787746754,-0.06042699764216229,-0.16219313079707173,-0.1437831332689273,0.223110301504666,0.15212449810399226,0.20398882683500477,0.11215270531645108,0.21701978353167994,0.0,0.0,0.07225546507392729,0.0,0.12655192391359818,0.02881043742846414,0.06341471126061848,-0.1084679868641025,0.0,0.003996712112074843,-0.07940201755301976,-0.025674896033685477,0.0,-0.23880527083230213,-0.17957229323530072,-0.10593720942574822,-0.13643454212455164,0.07608302259677265,0.2986820341303105,0.1448909989126169,0.0,0.052076122454249925,0.0,0.0,0.0,0.0,-0.08854114340801415,-0.06321724645646778,-0.20311331097638238,-0.12055819815757184,0.0,-0.09250901857939914,0.0,-0.18619293768674683,0.0,-0.06811958796301423,0.05985406923084426,-0.019441628992529523,0.0015717520071139976,0.3256917851821829,0.0,0.0,0.0,0.34681006919784535,0.09658684623841553,-0.34252383623287946,-0.36825023206336754,-0.5732780116336879,-0.4035154915285986,-0.30122593574626955,-0.3398351240632154,-0.2674887141970796,-0.40949799266758063,-0.3012536027010696,0.0,-0.10628018232706742,-0.18541668592707314,-0.24409387647647235,-0.02962487028532207,-0.24430861478587576,0.027933690540585747,-0.05495236494433852,-0.13331670262895404,-0.09716911719209369
CAHS_68135_tile4,0.09283472161567997,-0.08506418368168081,0.011123597113188737,0.036776582270783294,0.2303940769779656,0.26236920544892056,-0.14999244973519796,-0.043293838372651876,0.002201229395773165,0.006029625386776473,0.6281358081306805,0.05093305671563327,0.2485037772504619,0.4760461732383387,0.21186485547494055,0.1532891346481226,0.3926550108207006,0.13523314000257183,0.3048569432785045,0.3730567313375736,0.32474954399906686,0.24177917102507415,0.22825866316827353,0.2632980945633107,0.3076347702401277,0.11993089016117034,0.061375271194471226,0.06808076329321992,-0.07706957171561998,-0.20647756362246758,-0.18099526343192185,-0.2995699586988041,-0.12095541461349131,0.2817304949629081,0.09047606403024296,-0.20707936305806565,0.08495321687040844,-0.1214500726331121,-0.12333777787476802,0.07231874179320577,0.5115035998678411,0.45453833680617645,0.15548165580140982,0.27475848829444555,0.17123875345382666,0.19591570956746202,0.0,0.0,0.32048367154288016,0.2906454870912854,0.050368167000088594,0.12299890701803895,0.362839657683304,0.0,-0.02573126478226216,-0.2913324427007124,-0.27382370962130737,0.0,-0.15298695418918135,-0.0992470170954138,-0.029269257794209396,-0.06372616238417929,-0.15843960219031952,0.034776181923558996,-0.11926209684243542,0.0,-0.015132268208427632,0.0,0.0,0.0,0.0,0.05293760440282943,0.09801699220191157,-0.11638144871282023,-0.08261849471039844,0.11356891473537317,0.11422292428213399,0.0,-0.07069479770483954,-0.015820503773026722,0.09738096531871256,0.20466220796862614,0.18571061470789604,0.041006757362188076,0.0,0.0,0.13697114749489345,0.0,0.08803892163634756,0.35578757697083574,-0.21221309030549868,-0.2059192635183195,-0.22189168208149032,-0.22625245414703915,-0.07198013416619656,-0.047325304135577756,-0.14462123345908037,-0.3981362451879329,-0.3831712314410743,0.0,-0.08794240498877386,-0.44991099435518833,-0.3088437258649839,-0.19242842356464818,-0.08119126307597341,-0.23899975469307658,-0.2789697099628015,-0.34909103843377304,-0.330972944482489
A0A438HAK2,-0.09644987026924905,0.1454238050925415,0.15800151085473607,0.4338510936632202,0.18893132641650157,0.19551077919550366,-0.22747096068978795,-0.32689678953130974,-0.296597986046693,0.0,0.10540759507658436,-0.3682884841227157,-0.23970177655648484,-0.5371446307923419,-0.19889715179821577,-0.021408425052930617,-0.11391646608982287,-0.3886035454449201,0.09117910679022126,-0.08486729897732687,-0.08300761795057231,-0.13787983613387952,-0.1271604408617373,0.14944182100144013,-0.3755330834461574,-0.23071149265233754,-0.281484630566318,0.12361000242271439,-0.21116040803262054,-0.08699394520690511,-0.18328296767353774,-0.07623298701699377,-0.13303638510549018,0.1683869438297222,0.20795897274771027,0.4089507533209794,0.459985119607507,0.21666253167656857,0.33727199949257547,0.36171569244331364,-0.04722797576721779,0.20689322124955595,-0.07643248426405223,-0.013664356543126534,0.005970321057408975,-0.07189228927208918,0.0,0.0,-0.46774439731593165,-0.19111860417185045,-0.35992627310848163,0.1884509033509184,0.26850325402745306,0.0,0.06845261831802801,-0.10826751059345265,-0.10732139968752558,0.0,0.13239105942017784,-0.00444781414424077,-0.022504635612853888,-0.016274220390963465,0.0007115245997354743,-0.015299979350476512,0.03699096255739153,0.0,-0.12109875126805746,0.0,0.0,-0.0669474206136132,0.0,0.16273680843266386,0.1474602405430024,0.15567023402499078,0.17806533811007172,0.2989674994639779,0.18550098444602217,0.0,0.05353773244895337,0.049423468702537623,0.20888932441670988,0.22576364946963534,-0.12032074810530569,-0.045323816657675,-0.022168623860801505,0.0,0.0036543524796067957,0.0,0.11162996693899532,0.0,0.171564451035298,0.17322259702034368,0.19214577513993272,0.2705158710145763,0.21327272264941344,0.003313393625674695,0.1069456252388646,0.07918196360287849,0.0894100971093793,0.0,0.05565946790499907,0.047564026872186665,0.05890178189824708,0.27864695369895515,0.33096017958300045,0.07461722514845476,0.10614457371230461,0.25656735065969777,0.1113278235355616
Asyn_isoform_5,0.12982943179403605,0.29379764208842163,-0.02000134857743978,-0.06485977221561882,-0.022070352279327615,-0.011712035812324554,0.5163002976289791,0.007279687573694875,-0.06484840525604085,0.0,-0.3209264029216069,0.08639677359818794,0.1058680710870168,0.0,-0.2651484352615738,-0.13570682969552975,-0.08189783401803534,-0.21178469246301548,-0.26303607779835625,-0.14266807159165795,-0.17571215878149168,-0.1567003851623731,-0.19791882030527225,-0.2210026463332004,0.10280069513954798,-0.09713079697866132,-0.036529978108172184,-0.07717349010807359,-0.06726004561870726,-0.07492417085067825,0.07744669377928043,-0.21322935261540413,0.08235492133352815,0.14089663980085537,0.22074256527220643,0.1421006242483594,-0.1030007440224764,0.16967720616667495,0.11023195138555308,0.19507284847757722,0.2541428877039107,-0.09600530934941341,0.129229431077448,-0.040369871631489994,0.08558520254990742,0.0664484966961714,0.1656388470181862,0.0,0.1315587381531845,0.0040108263215304025,0.0,0.2971006607907385,0.19786935323899263,-0.4602128537225414,-0.33290518613641834,0.14815434040070868,-0.07109573447830048,0.0,-0.06745295903823426,0.057129623644073604,-0.02487682253413596,0.04916173425118173,0.06753245680690484,0.0,-0.11707952854243144,0.0,0.04432604878370991,-0.1455711514778467,0.0,0.0,0.0,0.12713755621739187,0.06583504074818523,-0.08639098956836457,0.10803958643354551,-0.03889984191275087,0.09026535629348136,-0.01351264046331975,0.00925471166209702,0.061835864601736415,0.22899331677115808,0.06291151828302714,-0.2382531239582912,0.07067642358262856,-0.043909563857284485,0.0,0.0941538238136071,0.0,-0.19456614414947465,-0.12736669528401928,0.09931488792683271,0.2647569612577936,-0.10592063118215378,-0.18098315632157966,-0.027741183617244182,0.03892655183947548,0.02314634095810002,-0.28406673340992505,-0.14282660235061528,0.2786985904530739,0.2616410692166045,0.10164486130377715,0.13171241985630683,0.0785380252634545,0.19877811436511308,0.3356560767579927,0.11211512788856735,0.12907103779060894,0.13599355639098787
A0A1U8F7A1,0.16583568393943,0.6717032835450811,0.5958347193881511,0.28377924651825154,0.3873192534155019,0.3473611799116599,-0.2900390383802332,-0.2534739907459992,-0.1712781069744944,-0.4047093721553831,-0.529065405379323,-0.02291099716686824,0.3862834886060005,0.18985503675433435,-0.17055470343641685,0.05668758178241224,-0.14872099497517177,-0.1785909220437768,0.0,-0.10009943235488057,-0.3167710751068006,-0.2025741868986317,-0.2533768516127781,0.002492367248828316,0.0,-0.057986987728768695,-0.25998715796862454,-0.15965675699652718,-0.29731026283807216,-0.1567907718987629,-0.25955725621169246,0.013965758714692626,-0.06369087385733922,0.21438423834461298,-0.10747432255317618,0.2539728606672212,0.0,0.1943801214611756,0.14188350315993845,0.07779824508750746,-0.08566877664339878,0.0,0.05387645557595404,0.05675309929257884,0.06478169292351098,0.12848705825482434,0.0,0.1732357239279316,0.0,0.30197219980496925,0.3911082603539604,0.12508946736830778,-0.06872915171213846,0.0,0.15616408542564245,-0.12886195564625644,0.0,0.0,-0.13256869979363506,-0.05716022732398057,-0.043225548087696616,-0.040114226411106284,0.17254104393984612,-0.016533494055924927,0.23356999567148756,0.0,-0.01598163305930012,0.0,0.0,0.042691533902630176,0.0,-0.21584393291119078,-0.1452582247389065,-0.10910073226949571,-0.034310979567134296,0.0,-0.10255675277976561,0.0,-0.17628873085304683,0.0,0.12503022150834206,0.12744069440660558,0.0,-0.14064346454449514,0.0,0.0,0.123238850395692,0.0,-0.32451030708287315,-0.06633007768819549,-0.045333264836699576,0.029713558978569404,-0.3743177492048483,-0.34118439581942445,-0.22715420442137385,-0.3569083243398874,-0.24019287000773426,-0.06737704346517862,0.08273411569599616,0.0,0.030653116224863317,0.09648954866441031,0.11511389905350293,0.13068855725701378,0.12526581388708755,0.17730801678894853,0.08491142030514137,0.12010084090658567,0.09271663101312916
Os_LEA_or6,0.3688863873846932,0.4315162394949565,0.4996406034775365,0.5265187226608926,0.5123582671720026,0.4559982558489791,0.0,-0.22268898796926698,-0.3431843003054613,0.0,0.08813506437882855,0.6341173714651056,0.1726494121498026,0.0,-0.3901616280417704,-0.06966827095257472,-0.08172057417566278,-0.20647088939192476,-0.16072540741723307,-0.22767534694034897,-0.38429286211152713,-0.1924559750506503,-0.36983024432501077,-0.30267901543919945,-0.4054373602179702,-0.3767057652686865,-0.3237736302901378,-0.4582690574313966,-0.35472757878284805,-0.4519033644443841,-0.12943248778740524,-0.050487128458610274,-0.2929963826546765,0.37266673077808216,0.16414484631248843,0.14470841960204536,0.0,0.3054925614013606,0.3044445359736941,0.30535789127689894,-0.033189942649258876,-0.14224109729182255,-0.17563141840045737,-0.07495605882948303,-0.08392447129519946,0.0,0.0,0.4516962825765228,0.0,-0.1289033028408047,0.0,0.050088255980806635,0.06621461450249419,0.0,-0.05311882509379777,-0.10042379198336417,-0.1430051530102736,0.0,0.005536329080479543,0.0007857644100091862,-0.1426703010739357,-0.16433095817041798,0.1308376662157421,-0.02421250261711263,0.0,0.0,-0.060568207901362914,0.0,0.0,0.0,0.0,0.10376490840863994,0.025150081000391778,0.11746624775821132,0.055682487403796305,0.0,-0.09367980862965791,-0.33036331809394126,-0.20201630854850652,-0.06604773451849331,-0.0022792266547176257,-0.2010908660918951,0.08122940729318757,0.112034401127456,0.08052151662976097,0.0,0.0,0.0,-0.09147015317452568,0.0,0.10485247241553823,-0.049563214090076066,-0.19995724965449513,-0.02462049204481898,0.19196640524078365,0.19243805469805453,0.05925897921520835,-0.2069940011991291,0.029832565583825705,0.0,0.05531743859481013,0.1888165378134971,0.09984687433056656,0.4012167599062567,0.47790403390424424,0.38968065367231647,0.28080223417723643,0.24580301789274744,0.17942575347531334
Os_LEA_or4,0.5230182314609695,0.24573351614762323,0.27846231129955457,-0.09511620258304315,0.271698659841965,0.2688469940246545,-0.49479636955075285,-0.31972448555392474,-0.7773836037469976,0.0,-0.33732665861251776,-0.2848668931033841,0.242338148559572,0.0,0.1358679850545948,0.17857039996114907,0.1581289088072398,-0.08444623396176609,0.22603368379110403,0.25681986735740875,0.09710251483454209,0.16124998742017274,0.12145851477158393,0.10301128856258973,-0.02140875188930022,0.13102221256084937,0.3261658187461516,-0.01941588174802886,0.04457371273647102,-0.2842062610694461,0.4986274192250113,0.0,0.005141280634691257,-0.21900088658270728,0.14934402801843857,0.0,0.0,-0.09896538696867861,-0.13507785830211325,-0.17911818140521638,0.40856485146216837,0.296791343482107,0.4346762942964027,0.41663417195529523,0.34873165335399703,0.2771127669865377,0.0,0.30592429813650973,0.0,0.0797145999538142,0.3170454491732531,0.07253219872538522,0.0,0.0,-0.10428295384894957,-0.3372203712362919,-0.44122532215748506,-0.49918293219849164,-0.28629760755050426,-0.21840074242829227,-0.24565175284451318,-0.3005264284880726,0.13823148535191426,0.09682374713902091,-0.09226709620434383,0.0,-0.07905281946682322,0.0,0.0,0.0,0.0,-0.06678579140750729,-0.1550190500596692,-0.12286972171012558,0.0050119801366315655,-0.127263282362703,-0.11350363982212122,0.0,-0.06691741216559509,-0.3588942349442868,-0.21996170599266196,0.11205939656736573,0.16148416613662214,0.24216784759565496,0.017213024123150126,0.0,0.0,0.0,-0.10581450352405948,-0.22071855335565538,-0.3325335545371095,-0.20761405577931272,-0.2491178721507043,-0.29786312626724465,-0.24755826027733208,0.10515576194509202,-0.07848744268218266,0.3336865598084145,0.3060709320080889,0.0,-0.2251136126459417,-0.5458859504510999,-0.447866325076214,-0.21803014048399438,-0.006349279751407028,-0.024970135629511666,-0.1595660085556083,-0.12045509635196379,-0.04259930064585189
