construct,Ef_cell,Ef_cell_std
GS0,0.41549849843243447,0.005429425120701432
GS8,0.323718905561871,0.0036309717098966226
GS16,0.29393268116172144,0.00799938014208457
GS24,0.2591177678135632,0.009569449332194073
GS32,0.22933250020684381,0.006220609119494728
GS48,0.16762942828953006,0.007036198605436464
GS64,0.13093075933619283,0.011715433696531748
